TYPE,ADULT_JUVENILE,YEAR,DATETIME,CCN,AGE,OFFENSE_DISTRICT,OFFENSE_PSA,OFFENSE_BLOCKX,OFFENSE_BLOCKY,DEFENDANT_PSA,DEFENDANT_DISTRICT,RACE,ETHNICITY,SEX,CATEGORY,DESCRIPTION,ADDRESS,ARREST_BLOCKX,ARREST_BLOCKY,GIS_ID,CREATOR,CREATED,EDITOR,EDITED,OBJECTID,GLOBALID
Possession,Adult,2012,2012/01/04 04:15:00+00,b'\x8f.\xc0.\x99\\\xca',30,4D,403,397600,143000,501,5D,U,U ,M,Narcotics,Ucsa Possession Marijuana,5400 BLOCK OF GEORGIA AVE NW,397600,143000,MARIJUANA_ARRESTS_11,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12491,{2F245D48-2B4D-441A-A012-F056C5963B1C}
Possession,Adult,2012,2012/01/04 04:15:00+00,b'\x8f.\xc0.\x99\\\xca',43,4D,403,397600,143000,,,U,U ,M,Narcotics,Ucsa Possession Marijuana,5400 BLOCK OF GEORGIA AVE NW,397600,143000,MARIJUANA_ARRESTS_12,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12492,{99F6B056-317E-4162-BE24-5F9556F28B25}
Possession,Adult,2012,2012/01/04 05:52:00+00,b'\xa0\xe7K\x98:\x85/',20,7D,701,401300,133400,607,6D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,1400 BLOCK OF S ST SE,401300,133400,MARIJUANA_ARRESTS_13,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12493,{E26A761B-777D-4632-97D3-2F20BE4B6CA8}
Possession,Adult,2012,2012/01/04 08:10:00+00,b'f\x10\xee\x1b\xb3.\xba',40,7D,701,401800,133000,604,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1800 BLOCK OF GOODHOPE RD SE,401800,133000,MARIJUANA_ARRESTS_14,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12494,{4ABA24BF-A669-4D28-AD75-BBF451B7864D}
Possession,Adult,2012,2012/01/04 21:46:00+00,b'>d\xdd\x91\x04\xfd#',29,5D,503,403700,139900,404,4D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,3700 BLOCK OF 9TH ST NW,397800,141000,MARIJUANA_ARRESTS_15,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12495,{110D58B3-C856-4C54-A56D-3A5071C0AA95}
Possession,Adult,2012,2012/01/04 22:30:00+00,b'\xb9\x0fkS\xf8\x1f(',19,1D,101,397400,137200,402,4D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,EUCLID ST NW,398000,139600,MARIJUANA_ARRESTS_16,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12496,{65AB6369-3607-4C08-92DD-E781B7E56FB9}
Possession with intent to distribute,Adult,2012,2012/01/04 22:55:00+00,b'\t\xf3\xabF`\xd1I',20,6D,602,406600,137300,602,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,5200 BLOCK OF SHERIFF RD NE,,,MARIJUANA_ARRESTS_17,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12497,{A8BD2DA6-DBFE-4BC0-8A84-BC225CB94C77}
Possession,Adult,2012,2012/01/04 23:20:00+00,"b'\xe8\x9a,4\x91\xbb\xed'",27,7D,708,399400,129300,602,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,HALF / POTOMAC AVE SW,,,MARIJUANA_ARRESTS_18,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12498,{7FC7F660-0F2C-4D1E-8884-7304CB9BCA9A}
Possession,Adult,2012,2012/01/04 23:30:00+00,"b""\xaam'\xfc\x99\x80\xdc""",42,6D,607,401300,133300,701,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1400 BLOCK OF T ST SE,,,MARIJUANA_ARRESTS_19,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12499,{C9B115BC-145C-4885-B2CF-7AE023F84BA0}
Possession with intent to distribute,Adult,2012,2012/01/04 23:35:00+00,b'\x16\xe5\xc0\x199q\xb7',43,6D,605,402900,134300,607,6D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,NELSON PL SE,,,MARIJUANA_ARRESTS_20,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12500,{08F5FD55-4FD5-4C68-B21F-D377349E6F23}
Possession with intent to distribute,Adult,2012,2012/01/05 00:10:00+00,b'q\x8d\x8c_%\x11\x80',21,6D,604,406500,134900,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,5300 BLOCK OF E ST SE,406500,134900,MARIJUANA_ARRESTS_21,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12501,{AD722B6F-02C0-4EC2-9887-4DBC4347DF11}
Possession with intent to distribute,Adult,2012,2012/01/05 00:10:00+00,b'\xc7f\xbd{\x81/\xbe',43,6D,607,402700,133700,701,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,27TH ST SE,402700,133400,MARIJUANA_ARRESTS_22,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12502,{844F6500-999A-42A5-B9DE-1E458BADC762}
Possession with intent to distribute,Adult,2012,2012/01/05 00:25:00+00,b'\xd4\x00~R\xdd\xc0\xb3',31,3D,304,397800,139600,302,3D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,2600 BLOCK OF SHERMAN AVE NW,397800,139600,MARIJUANA_ARRESTS_23,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12503,{56214658-1177-461D-9249-1B7B571F1380}
Possession,Adult,2012,2012/01/05 00:30:00+00,b'\x91re\xe5N\x1fT',44,1D,105,398700,134100,105,1D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,1300 BLOCK OF DELAWARE AVE SW,,,MARIJUANA_ARRESTS_24,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12504,{00F949DF-93E2-4464-BF9C-0970ED11F037}
Possession,Adult,2012,2012/01/05 00:30:00+00,b'\x91re\xe5N\x1fT',44,1D,105,398700,134100,105,1D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,DELAWARE AVE SW,401100,133000,MARIJUANA_ARRESTS_25,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12505,{41996618-08EA-4358-94B2-63EB04EBCACB}
Possession,Adult,2012,2012/01/05 02:18:00+00,b'\xf4\xb8\xbf\xefLcN',34,5D,505,401100,139300,302,3D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,1300 BLOCK OF SARATOGA AVE NE,401100,139300,MARIJUANA_ARRESTS_26,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12506,{EF37ADCE-A5A6-4333-8E48-E25B0E450C0E}
Possession with intent to distribute,Adult,2012,2012/01/05 19:03:00+00,b'!j\x90\x15\xa8\xe1\x9b',25,5D,505,400400,138800,601,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,BRENTWOOD RD NE,400700,139000,MARIJUANA_ARRESTS_27,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12507,{91362E78-259C-4BA6-B442-6D2144F60413}
Possession with intent to distribute,Adult,2012,2012/01/05 19:03:00+00,b'!j\x90\x15\xa8\xe1\x9b',38,5D,505,400400,138800,102,1D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,BRENTWOOD RD NE,400700,139000,MARIJUANA_ARRESTS_28,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12508,{E0373FC6-3236-42EB-8E03-F7B8D85E03B2}
Possession with intent to distribute,Adult,2012,2012/01/05 22:10:00+00,b'\xb0`\x11\xb9\xe5\xa5O',27,6D,603,404500,135900,603,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,3900 BLOCK OF AMES ST NE,404500,135900,MARIJUANA_ARRESTS_29,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12509,{1DB62910-5071-4D32-ADAD-C4CAA4A896B0}
Possession,Adult,2012,2012/01/05 22:10:00+00,b'\xb0`\x11\xb9\xe5\xa5O',30,6D,603,404500,135900,603,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,3900 BLOCK OF AMES ST NE,404500,135900,MARIJUANA_ARRESTS_30,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12510,{6E2BFAA6-5F19-4606-AB74-3721A836575E}
Possession,Adult,2012,2012/01/05 22:12:00+00,b'\x01\xb9Qj*\xd2a',23,6D,605,403400,134000,308,3D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,O ST NW,396700,137900,MARIJUANA_ARRESTS_31,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12511,{C571EB1D-6024-469B-8D83-E6E0A10FE2A1}
Possession with intent to distribute,Adult,2012,2012/01/05 22:53:00+00,b'e\xa8\x87D\xd4p\xce',41,6D,602,406100,136300,604,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,300 BLOCK OF 50TH ST NE,406100,136300,MARIJUANA_ARRESTS_32,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12512,{A6DD9344-1FFA-450C-94DF-D68B328D48DE}
Possession with intent to distribute,Adult,2012,2012/01/05 23:30:00+00,b'\x97\xfe\xee\xa5\xcbm)',23,5D,507,401600,137300,401,4D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,1600 BLOCK OF L ST NE,401700,137300,MARIJUANA_ARRESTS_33,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12513,{18B2469A-F28C-47EB-AED9-A3313F874048}
Possession,Adult,2012,2012/01/05 23:30:00+00,b'\xc0i!\xcc\xff\x18G',35,6D,603,404500,135900,601,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,3600 BLOCK OF JAY ST NE,,,MARIJUANA_ARRESTS_34,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12514,{62D935C6-63E3-4E93-9262-310D43251CBE}
Possession,Adult,2012,2012/01/06 00:36:00+00,b'\x81\xc1\xd4\xf9y5\xd1',37,1D,103,399200,137600,708,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,19TH / H ST NE,,,MARIJUANA_ARRESTS_35,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12515,{A5590A3C-50D4-42D7-BD3F-1A872AD99B5F}
Distribution,Adult,2012,2012/01/06 00:37:00+00,b'\x81\xc1\xd4\xf9y5\xd1',20,1D,103,399200,137600,507,5D,B ,U ,M,Narcotics,Ucsa Distributing Marijuana,BENNING RD NE,401700,136900,MARIJUANA_ARRESTS_36,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12516,{10F47861-A20A-4C91-8339-2AC656297432}
Possession with intent to distribute,Adult,2012,2012/01/06 01:11:00+00,b'VW\xf1\xe9M}\xdc',19,7D,703,400300,132200,103,1D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,2600 BLOCK OF BIRNEY PL SE,400300,132200,MARIJUANA_ARRESTS_37,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12517,{D1A7F90F-3D83-4FB3-A139-B4121266D599}
Distribution,Adult,2012,2012/01/06 01:21:00+00,b'za\xc2<w\xa8\xe4',34,7D,708,399200,129000,605,6D,B ,U ,M,Narcotics,Ucsa Distributing Marijuana,BENNING RD NE,401700,136900,MARIJUANA_ARRESTS_38,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12518,{87B510D3-0DA9-468F-8551-17CF01D7A898}
Possession,Adult,2012,2012/01/06 01:36:00+00,b'J\x877\x89!\xa6\xf9',29,3D,304,398000,139600,,,W ,N ,M,Narcotics,Ucsa Possession Marijuana,GEORGIA AVE NW,397900,140500,MARIJUANA_ARRESTS_39,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12519,{AA114D0E-E262-49F2-A7E8-BDACC37FA0B0}
Possession with intent to distribute,Adult,2012,2012/01/06 02:01:00+00,b'\x8fp\xcb9AK\xea',23,7D,704,402300,130700,704,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,MISSISSIPI AVE SE,,,MARIJUANA_ARRESTS_40,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12520,{E97E4156-C73C-4EC8-B426-7CC321F1F260}
Possession with intent to distribute,Adult,2012,2012/01/06 02:35:00+00,b'\x91\x8cC\xf1\t_f',30,3D,306,398100,139900,302,3D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,ALLEY 600 GRESHAM ST NW,,,MARIJUANA_ARRESTS_41,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12521,{AE896366-316D-4E3D-BBF1-9B156C5936E7}
Possession,Adult,2012,2012/01/06 04:50:00+00,b'Kk\xe8\x1b\xdd\xce>',23,7D,701,401400,133000,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,V ST NW,397200,138900,MARIJUANA_ARRESTS_42,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12522,{FE9834C3-9C2E-4B08-98E0-D18E9709E3B8}
Possession with intent to distribute,Juvenile,2012,2012/01/05 05:00:00+00,,,7D,701,,,608,6D,,,,Narcotics,Ucsa Pwid Marijuana,,,,MARIJUANA_ARRESTS_43,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12523,{0573D242-F205-4519-B483-D4FD6386759A}
Possession,Adult,2012,2012/01/06 22:20:00+00,b'\x05L\xe8~0C\x9c',27,4D,405,399700,141200,405,4D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,4000 BLOCK OF HAREWOOD DR NE,399700,141200,MARIJUANA_ARRESTS_44,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12524,{056CFC57-2B7E-4743-A624-F7CF8D240132}
Possession with intent to distribute,Adult,2012,2012/01/06 22:20:00+00,b'\xee\xa9\x18>9\x8c\x9a',50,5D,501,399000,138100,702,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,1500 BLOCK OF 1ST ST NW,399000,138100,MARIJUANA_ARRESTS_45,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12525,{74E6B093-3A96-4BBB-9152-C8681FE39233}
Possession with intent to distribute,Adult,2012,2012/01/06 22:25:00+00,b'\xee\xa9\x18>9\x8c\x9a',38,5D,501,399000,138100,501,5D,B ,U ,M,Narcotics,Ucsa Pwid Marijuana,1500 BLOCK OF 1ST ST NW,399000,138100,MARIJUANA_ARRESTS_46,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12526,{2CC964FF-48F0-4B22-90B3-BD0E2706DF7B}
Possession,Adult,2012,2012/01/06 22:50:00+00,b')\x15\x1f\xf3\x95\x80Q',20,7D,707,399500,129900,602,6D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,3700 BLOCK OF FIRST ST SE,399500,129900,MARIJUANA_ARRESTS_47,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12527,{91D5F7A4-A2B3-4576-BAA2-BD0AFB6BD38F}
Possession with intent to distribute,Adult,2012,2012/01/06 22:50:00+00,b')\x15\x1f\xf3\x95\x80Q',28,7D,707,399500,129900,707,7D,B ,U ,F,Narcotics,Ucsa Pwid Marijuana,3700 BLOCK OF FIRST ST SE,399500,129900,MARIJUANA_ARRESTS_48,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12528,{A56CE41A-2A7C-46FF-A8AF-59FD3BD3B4A9}
Possession,Adult,2012,2012/01/06 23:04:00+00,b'V\x16\xf4x\xea+U',39,6D,602,406400,136600,602,6D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,5300 BLOCK OF CLOUD PL NE,,,MARIJUANA_ARRESTS_49,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12529,{340E9BDB-8AB9-4FB0-A6EE-2CDAACCA4D70}
Possession with intent to distribute,Adult,2012,2012/01/06 23:23:00+00,b'\x9d8\xbf\xa5\xc3+\xd4',48,5D,502,399900,139100,502,5D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,300 BLOCK OF ADAMS ST NE,399900,139100,MARIJUANA_ARRESTS_50,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12530,{69FDB884-D251-4C0D-BBA0-C81B35BEB30A}
Possession with intent to distribute,Adult,2012,2012/01/06 23:23:00+00,b'\xfeE7E\x9d\xfe\xd4',49,5D,502,399900,139100,701,7D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,300 BLOCK OF ADAMS ST NE,399900,139100,MARIJUANA_ARRESTS_51,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12531,{F8D4251D-3021-448A-8E0E-DA523F930524}
Possession,Adult,2012,2012/01/06 23:24:00+00,b'\x81\xc4\xb7\xf0\xaf\x88\xc7',29,5D,502,399900,139100,203,2D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,300 BLOCK OF ADAMS ST NE,399900,139100,MARIJUANA_ARRESTS_52,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12532,{C2658580-7401-4102-8DD8-A6F12A55A063}
Possession with intent to distribute,Adult,2012,2012/01/06 23:24:00+00,b's\xadh\x88\x98\xa4t',38,5D,502,399900,139100,502,5D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,300 BLOCK OF ADAMS ST NE,399900,139100,MARIJUANA_ARRESTS_53,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12533,{E2EAC96F-1366-4C6B-9E22-45D32455B613}
Possession,Adult,2012,2012/01/06 23:30:00+00,b'5\x99>\xddg=R',45,4D,403,397600,142800,403,4D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,ALLEY 5200 GEORGIA AVE NW,,,MARIJUANA_ARRESTS_54,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12534,{BC7F7C81-9C4F-4CDA-9ED5-20C3C46A5FA1}
Possession,Adult,2012,2012/01/06 23:50:00+00,b'\x0b\xf2\xd1O\x9f\xe5\xd5',27,6D,604,406400,134900,401,4D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,5300 BLOCK OF E ST SE,406400,134900,MARIJUANA_ARRESTS_55,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12535,{7196D3B1-78D1-4CC3-933F-EC81AE1A45CA}
Possession,Adult,2012,2012/01/07 04:30:00+00,b'\x99$\x07\x07\xa2\xd2\xfb',31,1D,104,399200,137700,501,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1ST / N ST NE,,,MARIJUANA_ARRESTS_56,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12536,{9C202937-9E79-4BB8-B9B2-1E101A95D74F}
Possession,Juvenile,2012,2012/01/06 05:00:00+00,,,3D,307,,,307,3D,,,,Narcotics,Ucsa Possession Marijuana,,,,MARIJUANA_ARRESTS_57,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12537,{2CC11F3D-2B87-4F6F-B71C-014EDB65CBCF}
Possession,Adult,2012,2012/01/07 06:25:00+00,b'\x0e\xe5\xe7q1W<',30,1D,101,397400,137300,101,1D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,1300 BLOCK OF L ST NW,397400,137300,MARIJUANA_ARRESTS_58,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12538,{3567F440-9F8B-43FF-8638-AC47CF066364}
Possession,Adult,2012,2012/01/07 11:15:00+00,b'8$X\xa1\xb3\xb9\xb3',18,5D,507,402400,136500,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2400 BLOCK OF E ST NE,402400,136500,MARIJUANA_ARRESTS_59,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12539,{4D4B0636-B2DB-4BE2-830D-4AD7475FECD7}
Possession,Adult,2012,2012/01/07 11:15:00+00,b'8$X\xa1\xb3\xb9\xb3',18,5D,507,402400,136500,Out of State,Out of State,B ,N ,F,Narcotics,Ucsa Possession Marijuana,2400 BLOCK OF E ST NE,402400,136500,MARIJUANA_ARRESTS_60,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12540,{32E96A61-AB5E-46B6-A510-D22FACB34457}
Possession,Adult,2012,2012/01/07 11:15:00+00,b'8$X\xa1\xb3\xb9\xb3',19,5D,507,402400,136500,506,5D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,2400 BLOCK OF E ST NE,402400,136500,MARIJUANA_ARRESTS_61,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12541,{F2407BEF-6454-4D54-B71B-2F1E6486006B}
Possession,Adult,2012,2012/01/07 11:15:00+00,b'8$X\xa1\xb3\xb9\xb3',20,5D,507,402400,136500,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,2400 BLOCK OF E ST NE,402400,136500,MARIJUANA_ARRESTS_62,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12542,{A36F1222-CCF2-4447-9437-319B744B7A18}
Possession,Adult,2012,2012/01/07 18:55:00+00,b'\x1f\x93\x18cYp\x19',40,6D,601,404600,137300,601,6D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,3800 BLOCK OF JAY ST NE,404700,137100,MARIJUANA_ARRESTS_63,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12543,{62046120-0E96-4E6A-B44F-08D10D87CB73}
Possession,Adult,2012,2012/01/07 19:10:00+00,b'\x15\xd7\xb1S#\xb3\xd9',24,6D,601,404500,137100,507,5D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,3800 BLOCK OF HAYES ST NE,404500,137100,MARIJUANA_ARRESTS_64,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12544,{4C6B5278-B9E5-43D8-819F-0E3BB1C00B76}
Possession,Adult,2012,2012/01/07 19:15:00+00,b'O8\xf4i\xd3-\x9c',18,7D,706,400800,129900,607,6D,B ,N ,F,Narcotics,Ucsa Possession Marijuana,1400 BLOCK OF MORRIS RD SE,401100,132400,MARIJUANA_ARRESTS_65,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12545,{05F149E8-5830-4B37-86D0-C4763D75B8CA}
