Age,Gender,EducationLevel,HouseholdIncome,Frequency_LaptopDesktop,Frequency_Smartphone,Frequency_Tablet,Frequency_SmartHomeDevices,Frequency_WearableDevices,Frequency_GamingConsoles,Frequency_HomeSecuritySystem,LikelinessToAdopt,Benefit_ProductivityEfficiency,Benefit_CommunicationConnectivity,Benefit_EasyAccessToInfo,Benefit_Entertainment,Risk_SecurityPrivacy,Risk_ExcessScreenTime,Risk_ComplicatedToUse,Risk_Addiction,Risk_Health,Risk_LossOfConnection,Influence_FamilyFriends,Influence_PromoActivities,Influence_SocialPopularity,Influence_ExpertRecommendation,Influence_Endorsements,Barrier_HighPrice,Barrier_TechKnowledge,Barrier_PrivacySecurity,Barrier_ReliableInternet,Barrier_ChangeReluctance,LikelinessToRecommend
46,Male,Bachelor's Degree,1200000,0,0,0,0,0,0,0,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4
46,Female,Bachelor's Degree,500000,4,4,3,0,0,0,0,4,4,5,5,4,5,4,2,3,2,1,2,2,3,4,1,4,1,5,1,2,5
58,Male,Doctorate,1000000,1,5,4,5,5,3,5,5,4,4,5,4,4,4,3,3,3,4,2,3,3,4,3,3,2,3,3,1,5
49,Male,Master's Degree,5000000,4,5,5,2,2,0,0,4,4,4,4,4,4,4,2,3,3,3,3,3,4,4,3,2,2,2,2,2,4
41,Male,Bachelor's Degree,2200000,5,5,0,1,0,0,0,3,4,4,4,4,5,5,4,5,5,5,5,4,4,2,2,5,4,4,4,4,5
62,Male,Bachelor's Degree,900000,5,5,2,3,0,0,4,4,4,5,5,4,4,4,4,2,4,4,2,3,3,4,1,4,4,4,3,3,4
43,Male,Bachelor's Degree,1000000,5,5,0,5,4,0,0,5,3,3,3,3,4,4,4,4,4,4,3,4,3,5,2,4,4,5,4,3,4
54,Male,Bachelor's Degree,400000,1,2,0,0,0,0,0,1,3,4,4,2,5,5,5,5,5,5,1,1,1,1,1,4,2,5,5,3,3
24,Female,Master's Degree,1200000,5,5,4,4,4,4,2,4,4,4,5,5,5,5,3,5,5,5,4,4,3,5,4,5,3,3,2,2,4
34,Male,Master's Degree,600000,0,4,3,3,4,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
27,Male,High School Graduate,800000,2,5,0,5,0,5,1,4,4,4,4,4,2,3,2,3,2,2,2,2,2,2,2,5,1,2,1,1,5
45,Male,High School Graduate,550000,4,5,0,4,1,0,0,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4
22,Male,Master's Degree,2400000,5,5,3,4,5,4,2,4,4,4,5,5,4,3,2,3,4,3,4,3,4,3,4,5,2,2,1,2,4
53,Male,Master's Degree,5000000,4,5,0,2,0,0,5,4,5,5,5,5,4,5,3,5,4,3,4,3,3,4,3,3,3,2,3,3,5
51,Male,Doctorate,2000000,4,4,3,3,3,0,3,5,5,5,5,5,3,4,4,5,4,4,5,4,4,4,4,2,1,1,1,2,5
38,Female,Master's Degree,400000,5,5,3,3,4,3,3,4,4,3,4,3,3,4,3,4,3,3,3,3,4,3,3,2,1,2,2,2,2
25,Male,Bachelor's Degree,840000,4,5,3,0,2,0,0,3,2,5,4,4,3,4,2,3,4,4,4,3,3,4,2,3,1,2,1,4,2
46,Male,Master's Degree,10000000,4,5,3,5,0,0,0,3,2,5,4,4,5,5,2,4,5,5,4,5,4,1,1,4,2,5,2,1,3
58,Female,High School Graduate,11200000,5,5,0,0,5,0,0,5,4,3,5,4,5,5,1,5,5,5,5,1,1,1,1,3,2,4,1,1,5
24,Female,Bachelor's Degree,456000,1,5,0,3,0,0,0,3,2,4,5,5,4,5,2,3,5,5,3,3,3,3,2,4,3,4,3,3,3
