SepalLengthCm,SepalWidthCm,PetalWidthCm,Species,eee,wwww,bos,date,ID,id_yeni,text,karisik,İd_2
,0,,Iris-versicolor,0,389,"29,144",1998-10-04,56,56,sdedewdew,deded,56
,0,,Iris-versicolor,0,390,"30,144",1998-10-05,57,57,,deded,57
,0,,Iris-versicolor,1,391,"31,144",1998-10-06,58,58,,deded,58
,2.9,,Iris-versicolor,0,392,"32,144",1998-10-07,59,59,aadadwdwed,deded,59
,2.7,,Iris-versicolor,1,393,"33,144",1998-10-08,60,60,aadadwdwed,deded,60
,2.0,,Iris-versicolor,1,394,"34,144",1998-10-09,61,61,aadadwdwed,deded,61
,3.0,,Iris-versicolor,0,395,"35,144",1998-10-10,62,62,aadadwdwed,deded,62
,2.2,,Iris-versicolor,0,396,"36,144",1998-10-11,63,63,aadadwdwed,deded,63
,2.9,,Iris-versicolor,1,397,"37,144",1998-10-12,64,64,aadadwdwed,deded,64
,2.9,,Iris-versicolor,1,398,"38,144",1998-10-13,65,65,aadadwdwed,deded,65
,3.1,,Iris-versicolor,0,399,"39,144",1998-10-14,66,66,aadadwdwed,deded,66
,3.0,1.5,Iris-versicolor,1,400,"40,144",1998-10-15,67,67,aadadwdwed,deded,67
,2.7,1.0,Iris-versicolor,0,401,"41,144",1998-10-16,68,68,aadadwdwed,deded,68
,2.2,1.5,Iris-versicolor,0,402,"42,144",1998-10-17,69,69,aadadwdwed,deded,69
,2.5,1.1,Iris-versicolor,1,403,"43,144",1998-10-18,70,70,aadadwdwed,deded,70
,3.2,1.8,Iris-versicolor,1,404,"44,144",1998-10-19,71,71,aadadwdwed,deded,71
,2.8,1.3,Iris-versicolor,0,405,"45,144",1998-10-20,72,72,aadadwdwed,deded,72
,2.5,1.5,Iris-versicolor,1,406,"46,144",,73,73,aadadwdwed,deded,73
,2.8,1.2,Iris-versicolor,1,407,"47,144",1998-10-22,74,74,aadadwdwed,deded,74
,2.9,1.3,Iris-versicolor,1,408,"48,144",1998-10-23,75,75,aadadwdwed,deded,
6.6,3.0,1.4,Iris-versicolor,1,409,"49,144",1998-10-24,76,76,aadadwdwed,deded,
6.8,2.8,1.4,Iris-versicolor,0,410,"50,144",1998-10-25,77,77,aadadwdwed,deded,
6.7,3.0,1.7,Iris-versicolor,1,411,"51,144",1998-10-26,78,78,aadadwdwed,deded,
6.0,2.9,1.5,Iris-versicolor,0,412,"52,144",1998-10-27,79,79,aadadwdwed,deded,
5.7,2.6,1.0,Iris-versicolor,1,413,"53,144",1998-10-28,80,80,aadadwdwed,deded,
5.5,2.4,1.1,Iris-versicolor,1,414,"54,144",1998-10-29,81,81,aadadwdwed,deded,
5.5,2.4,1.0,Iris-versicolor,0,415,"55,144",1998-10-30,82,82,aadadwdwed,deded,
5.8,2.7,1.2,Iris-versicolor,1,416,"56,144",1998-10-31,83,83,aadadwdwed,deded,83
6.0,2.7,1.6,Iris-versicolor,1,417,"57,144",1998-11-01,84,84,aadadwdwed,deded,84
5.4,3.0,1.5,Iris-versicolor,1,418,"58,144",1998-11-02,85,85,aadadwdwed,deded,85
6.0,3.4,1.6,Iris-versicolor,0,419,"59,144",1998-11-03,86,86,aadadwdwed,deded,86
6.7,3.1,1.5,Iris-versicolor,1,420,"60,144",1998-11-04,87,87,aadadwdwed,deded,87
6.3,2.3,1.3,Iris-versicolor,1,421,"61,144",1998-11-05,88,88,aadadwdwed,deded,88
5.6,3.0,1.3,Iris-versicolor,0,422,"62,144",1998-11-06,89,89,aadadwdwed,deded,89
5.5,2.5,1.3,Iris-versicolor,1,423,"63,144",1998-11-07,90,90,aadadwdwed,deded,90
5.5,2.6,1.2,Iris-versicolor,0,424,"64,144",1998-11-08,91,91,aadadwdwed,deded,91
6.1,3.0,1.4,Iris-versicolor,1,425,"65,144",1998-11-09,92,92,aadadwdwed,),92
5.8,2.6,1.2,Iris-versicolor,0,426,"66,144",1998-11-10,93,93,aadadwdwed,),93
5.0,2.3,1.0,Iris-versicolor,0,427,"67,144",1998-11-11,94,94,aadadwdwed,),94
5.6,2.7,1.3,Iris-versicolor,1,428,"68,144",1998-11-12,95,95,aadadwdwed,),95
5.7,3.0,1.2,Iris-versicolor,0,429,"69,144",1998-11-13,96,96,aadadwdwed,),96
5.7,2.9,1.3,Iris-versicolor,1,430,"70,144",1998-11-14,97,97,aadadwdwed,),97
6.2,2.9,1.3,Iris-versicolor,1,431,"71,144",1998-11-15,98,98,aadadwdwed,),98
5.1,2.5,1.1,Iris-versicolor,1,432,"72,144",1998-11-16,99,99,aadadwdwed,),99
5.7,2.8,1.3,Iris-versicolor,0,433,"73,144",1998-11-17,100,100,aadadwdwed,),100
6.3,3.3,2.5,Iris-virginica,1,434,"74,144",1998-11-18,101,101,aadadwdwed,),101
5.8,2.7,1.9,Iris-virginica,0,435,"75,144",1998-11-19,102,102,aadadwdwed,),102
7.1,3.0,2.1,Iris-virginica,1,436,"76,144",1998-11-20,103,103,aadadwdwed,),103
6.3,2.9,1.8,Iris-virginica,1,437,"77,144",1998-11-21,104,104,aadadwdwed,),104
6.5,3.0,2.2,Iris-virginica,0,438,"78,144",1998-11-22,105,105,aadadwdwed,),105
7.6,3.0,2.1,Iris-virginica,1,439,"79,144",1998-11-23,106,106,aadadwdwed,),106
4.9,2.5,1.7,Iris-virginica,0,440,"80,144",1998-11-24,107,107,aadadwdwed,),107
7.3,2.9,1.8,Iris-virginica,1,441,"81,144",1998-11-25,108,108,aadadwdwed,),108
6.7,2.5,1.8,Iris-virginica,0,442,"82,144",1998-11-26,109,,aadadwdwed,),109
7.2,3.6,2.5,Iris-virginica,1,443,"83,144",1998-11-27,110,,aadadwdwed,),110
6.5,3.2,2.0,Iris-virginica,0,444,"84,144",1998-11-28,111,111,aadadwdwed,),111
6.4,2.7,1.9,Iris-virginica,1,445,"85,144",1998-11-29,112,112,aadadwdwed,),112
6.8,3.0,2.1,Iris-virginica,1,446,"86,144",1998-11-30,113,113,aadadwdwed,),113
5.7,2.5,2.0,Iris-virginica,1,447,"87,144",1998-12-01,114,114,aadadwdwed,),114
5.8,2.8,2.4,Iris-virginica,0,448,"88,144",1998-12-02,115,115,aadadwdwed,),115
6.4,3.2,2.3,Iris-virginica,1,449,"89,144",1998-12-03,116,116,aadadwdwed,),116
6.5,3.0,1.8,Iris-virginica,1,450,"90,144",1998-12-04,117,117,aadadwdwed,),117
7.7,3.8,2.2,Iris-virginica,1,451,"91,144",1998-12-05,118,118,aadadwdwed,),118
7.7,2.6,2.3,Iris-virginica,1,452,"92,144",1998-12-06,119,119,aadadwdwed,),119
6.0,2.2,1.5,Iris-virginica,1,453,"93,144",1998-12-07,120,120,aadadwdwed,),120
6.9,3.2,2.3,Iris-virginica,1,454,"94,144",1998-12-08,121,121,aadadwdwed,),121
5.6,2.8,2.0,Iris-virginica,0,455,"95,144",1998-12-09,122,122,aadadwdwed,),122
7.7,2.8,2.0,Iris-virginica,0,456,"96,144",1998-12-10,123,123,aadadwdwed,),123
6.3,2.7,1.8,Iris-virginica,0,457,"97,144",1998-12-11,124,124,aadadwdwed,),124
6.7,3.3,2.1,Iris-virginica,0,458,"98,144",1998-12-12,125,125,aadadwdwed,),125
7.2,3.2,1.8,Iris-virginica,0,459,"99,144",1998-12-13,126,126,aadadwdwed,),126
6.2,2.8,1.8,Iris-virginica,0,460,"100,144",1998-12-14,127,,aadadwdwed,),127
6.1,3.0,1.8,Iris-virginica,0,461,"101,144",1998-12-15,128,,aadadwdwed,),128
6.4,2.8,2.1,Iris-virginica,0,462,"102,144",1998-12-16,129,,aadadwdwed,),129
7.2,3.0,1.6,Iris-virginica,0,463,"103,144",1998-12-17,130,,aadadwdwed,),130
7.4,2.8,1.9,Iris-virginica,0,464,"104,144",1998-12-18,131,,aadadwdwed,),131
7.9,3.8,2.0,Iris-virginica,0,465,"105,144",1998-12-19,132,,aadadwdwed,),132
6.4,2.8,2.2,Iris-virginica,0,466,"106,144",1998-12-20,133,,aadadwdwed,),133
6.3,2.8,1.5,Iris-virginica,0,467,"107,144",1998-12-21,134,,aadadwdwed,),134
6.1,2.6,1.4,Iris-virginica,0,468,"108,144",1998-12-22,135,135,aadadwdwed,),135
7.7,3.0,2.3,Iris-virginica,0,469,"109,144",1998-12-23,136,136,aadadwdwed,),136
6.3,3.4,2.4,Iris-virginica,0,470,"110,144",1998-12-24,137,137,aadadwdwed,),137
6.4,3.1,1.8,Iris-virginica,0,471,"111,144",1998-12-25,138,138,aadadwdwed,),138
6.0,3.0,1.8,Iris-virginica,0,472,"112,144",1998-12-26,139,139,aadadwdwed,),139
6.9,3.1,2.1,Iris-virginica,0,473,"113,144",1998-12-27,140,140,aadadwdwed,),140
6.7,3.1,2.4,Iris-virginica,1,474,"114,144",1998-12-28,141,141,aadadwdwed,),141
6.9,3.1,2.3,Iris-virginica,1,475,"115,144",1998-12-29,142,142,aadadwdwed,),142
5.8,2.7,1.9,Iris-virginica,1,476,"116,144",1998-12-30,143,143,aadadwdwed,),143
6.8,3.2,2.3,Iris-virginica,1,477,"117,144",1998-12-31,144,144,aadadwdwed,),144
6.7,3.3,2.5,Iris-virginica,1,478,"118,144",1999-01-01,145,145,aadadwdwed,,145
6.7,3.0,2.3,Iris-virginica,1,479,"119,144",1999-01-02,146,146,aadadwdwed,,146
6.3,2.5,1.9,Iris-virginica,1,480,"120,144",1999-01-03,147,147,aadadwdwed,,147
6.5,3.0,2.0,Iris-virginica,1,481,"121,144",1999-01-04,148,148,aadadwdwed,,148
6.2,3.4,2.3,Iris-virginica,1,482,"122,144",1999-01-05,149,149,aadadwdwed,,149
5.9,3.0,1.8,Iris-virginica,1,483,"123,144",1999-01-06,150,150,aadadwdwed,,150
